Date,Close/Last,Volume,Open,High,Low
09/15/2020,$167.06,2217,$168.585,$170.75,$165.16
09/14/2020,$166.585,1775,$168.105,$172.19,$164.02
09/11/2020,$165.395,1478,$170.09,$170.09,$163.25
09/10/2020,$170.09,4372,$174.83,$174.83,$167.32
09/09/2020,$177.65,2501,$173.61,$178.57,$173.61
09/08/2020,$174.7,2925,$179.28,$179.28,$172
09/04/2020,$172.07,5175,$177.05,$177.05,$168.75
09/03/2020,$167.125,2103,$166.47,$173.59,$166.47
09/02/2020,$166.22,1467,$169.2,$169.2,$162.21
09/01/2020,$163.32,4280,$160.03,$168.17,$160.03
08/31/2020,$164.785,2780,$159.52,$168.82,$159.52
08/28/2020,$161.04,2288,$158.93,$163.69,$158.93
08/27/2020,$158.745,3192,$155.24,$160.999,$155.24
08/26/2020,$160.745,2589,$156.82,$161.499,$156.82
08/25/2020,$161.39,4191,$162.59,$163.3,$160.82
08/24/2020,$159.39,2762,$155.8,$162,$155.8
08/21/2020,$157.46,2170,$157.915,$159.75,$156.871
08/20/2020,$157.42,2628,$152.81,$159.445,$152.81
08/19/2020,$156.865,2824,$157.335,$160.23,$153.04
08/18/2020,$160.12,3923,$159.3,$161.84,$157
08/17/2020,$162.215,3199,$160.825,$162.75,$159.32
08/14/2020,$156.7,2500,$156.975,$160.625,$156.07
08/13/2020,$156.68,1807,$152.52,$159.72,$152.52
08/12/2020,$157.63,2771,$156.53,$159.86,$152.32
08/11/2020,$154.9,3630,$161.65,$161.65,$153.14
08/10/2020,$149.19,2419,$148.25,$152.83,$142.5
08/07/2020,$148.18,2929,$146.185,$149.5,$146.185
08/06/2020,$149.39,5336,$148.55,$151.4,$148.55
08/05/2020,$148.36,3184,$151.44,$151.44,$147.77
08/04/2020,$149.945,5330,$146.12,$150.57,$146.12
08/03/2020,$142.51,5809,$141.07,$147.3,$141.07
07/31/2020,$132.065,4824,$132.38,$133.55,$130.9
07/30/2020,$136.95,3169,$133.11,$136.95,$133.11
07/29/2020,$130.815,3803,$129.25,$132.12,$129.03
07/28/2020,$135.57,2504,$134.285,$139.32,$131.81
07/27/2020,$139.891,2079,$136.18,$142.95,$136.18
07/24/2020,$139.029,3415,$135.84,$144.57,$135.84
07/23/2020,$138.15,2522,$141.15,$141.15,$137.75
07/22/2020,$138.78,2090,$134.25,$139.85,$134.25
07/21/2020,$138.2,2964,$144.86,$144.86,$136.02
07/20/2020,$141.9,2213,$135.25,$142.33,$135.25
07/17/2020,$145.76,6235,$146.54,$147.63,$145.18
07/16/2020,$148.19,12640,$143.31,$150.86,$143.31
07/15/2020,$147.33,2849,$145.29,$151.29,$145.29
07/14/2020,$142.33,2744,$137.07,$143.749,$137.07
07/13/2020,$141.8625,3855,$144.17,$144.69,$141.25
07/10/2020,$137.8,1941,$132.13,$141,$132.13
07/09/2020,$140.31,2449,$141.95,$143.739,$138.81
07/08/2020,$141.3999,10624,$136.18,$142.97,$136.18
07/07/2020,$141.75,6344,$142.5,$144.285,$137.5
07/06/2020,$139.09,4826,$144.88,$144.88,$138.155
07/02/2020,$134.57,4598,$129.58,$135.05,$129.58
07/01/2020,$130.35,1689,$130.9,$132.11,$126.61
06/30/2020,$135.36,7023,$131.05,$136.285,$131.05
06/29/2020,$135.11,2810,$137.99,$137.99,$131.175
06/26/2020,$139.75,2822,$136.72,$142.38,$136.72
06/25/2020,$140.35,3010,$134.6,$142.93,$134.6
06/24/2020,$140.05,3667,$142.055,$143.29,$138.02
06/23/2020,$139.795,2568,$139.75,$142.08,$139.75
06/22/2020,$135.15,4916,$130.5,$136.41,$130.5
06/19/2020,$136.74,3018,$136.95,$143.35,$136.74
06/18/2020,$138.78,4659,$132.65,$140.915,$132.65
06/17/2020,$140.64,4573,$135.19,$142.67,$135.19
06/16/2020,$142.695,8516,$139.15,$148.31,$139.15
06/15/2020,$136.77,11904,$129.09,$137.7,$129.08
06/12/2020,$143.01,5563,$140.45,$148.3,$140.45
06/11/2020,$143.44,3650,$142.1,$152,$141.35
06/10/2020,$153.065,11225,$155.25,$158.615,$149.35
06/09/2020,$153.76,4122,$150.5,$155.5,$150.5
06/08/2020,$154.025,5395,$147.48,$157.5,$147.48
06/05/2020,$151.86,5993,$143.86,$153.25,$143.86
